大分類,中分類,小分類,問題ID,問題本文,選択肢1,選択肢2,選択肢3,選択肢4,回答の選択肢番号,回答の解説,難易度
漫画,ワンピース,エッグヘッド編,75,エッグヘッドでベガパンクが語った歴史の真実とは？,空白の100年,古代兵器,悪魔の実の起源,Dの意思,1,ベガパンクが語ったのは空白の100年です。,3
漫画,ワンピース,その他,76,ルフィの誕生日はいつ？,5月5日,3月2日,4月29日,8月1日,1,ルフィの誕生日は5月5日です。,1
漫画,ワンピース,その他,77,ゾロの誕生日はいつ？,11月11日,10月1日,9月9日,8月8日,1,ゾロの誕生日は11月11日です。,1
漫画,ワンピース,その他,78,ナミの誕生日はいつ？,7月3日,6月2日,5月1日,8月4日,1,ナミの誕生日は7月3日です。,1
漫画,ワンピース,その他,79,ウソップの誕生日はいつ？,4月1日,3月1日,2月1日,5月1日,1,ウソップの誕生日は4月1日です。,1
漫画,ワンピース,その他,80,サンジの誕生日はいつ？,3月2日,4月3日,5月4日,6月5日,1,サンジの誕生日は3月2日です。,1
漫画,ワンピース,その他,81,チョッパーの誕生日はいつ？,12月24日,12月1日,11月24日,1月1日,1,チョッパーの誕生日は12月24日です。,1
漫画,ワンピース,その他,82,ロビンの誕生日はいつ？,2月6日,3月7日,4月8日,5月9日,1,ロビンの誕生日は2月6日です。,1
漫画,ワンピース,その他,83,フランキーの誕生日はいつ？,3月9日,4月10日,5月11日,6月12日,1,フランキーの誕生日は3月9日です。,1
漫画,ワンピース,その他,84,ブルックの誕生日はいつ？,4月3日,3月2日,2月1日,1月1日,1,ブルックの誕生日は4月3日です。,1
漫画,ワンピース,その他,85,ジンベエの誕生日はいつ？,4月2日,3月2日,2月2日,1月2日,1,ジンベエの誕生日は4月2日です。,1
漫画,ワンピース,その他,86,海賊王ゴールド・ロジャーの処刑された場所は？,ローグタウン,グランドライン,マリージョア,フーシャ村,1,ロジャーはローグタウンで処刑されました。,1
漫画,ワンピース,その他,87,シャンクスが所属する海賊団の名前は？,赤髪海賊団,黒ひげ海賊団,ビッグ・マム海賊団,百獣海賊団,1,シャンクスは赤髪海賊団の船長です。,1
漫画,ワンピース,その他,88,コビーが海軍に入ったきっかけは？,ルフィとの出会い,ガープとの出会い,ヘルメッポとの出会い,海賊に捕らえられたから,1,コビーはルフィとの出会いを経て海軍を志しました。,2
漫画,ワンピース,その他,89,スモーカーの能力は何？,モクモクの実,メラメラの実,ヒエヒエの実,ピカピカの実,1,スモーカーはモクモクの実の能力者です。,1
漫画,ワンピース,その他,90,ミホークの異名は何？,鷹の目のミホーク,剣豪ミホーク,世界一の剣豪,最強の剣士,1,ミホークは「鷹の目のミホーク」と呼ばれています。,1
漫画,ワンピース,その他,91,四皇の一角である黒ひげの本名は何？,マーシャル・D・ティーチ,ポートガス・D・エース,モンキー・D・ルフィ,トラファルガー・ロー,1,黒ひげの本名はマーシャル・D・ティーチです。,2
漫画,ワンピース,その他,92,海軍大将の「赤犬」の本名は何？,サカズキ,ボルサリーノ,クザン,イッショウ,1,赤犬の本名はサカズキです。,2
漫画,ワンピース,その他,93,海軍大将の「黄猿」の本名は何？,ボルサリーノ,サカズキ,クザン,イッショウ,1,黄猿の本名はボルサリーノです。,2
漫画,ワンピース,その他,94,海軍大将の「青雉」の本名は何？,クザン,サカズキ,ボルサリーノ,イッショウ,1,青雉の本名はクザンです。,2
漫画,ワンピース,その他,95,海軍大将の「藤虎」の本名は何？,イッショウ,サカズキ,ボルサリーノ,クザン,1,藤虎の本名はイッショウです。,2
漫画,ワンピース,その他,96,革命軍のリーダーは誰？,モンキー・D・ドラゴン,モンキー・D・ルフィ,モンキー・D・ガープ,サボ,1,革命軍のリーダーはモンキー・D・ドラゴンです。,2
漫画,ワンピース,その他,97,ルフィの父親は誰？,モンキー・D・ドラゴン,モンキー・D・ガープ,モンキー・D・ルフィ,ポートガス・D・エース,1,ルフィの父親はモンキー・D・ドラゴンです。,2
漫画,ワンピース,その他,98,ルフィの祖父は誰？,モンキー・D・ガープ,モンキー・D・ドラゴン,ポートガス・D・エース,サボ,1,ルフィの祖父はモンキー・D・ガープです。,2
漫画,ワンピース,その他,99,エースの父親は誰？,ゴールド・ロジャー,モンキー・D・ドラゴン,モンキー・D・ガープ,白ひげ,1,エースの父親はゴールド・ロジャーです。,2
漫画,ワンピース,その他,100,サボの悪魔の実は何？,メラメラの実,モクモクの実,ヒエヒエの実,ピカピカの実,1,サボはメラメラの実の能力者です。,2
漫画,ワンピース,その他,101,世界政府の最高権力機関の名前は？,五老星,天竜人,海軍本部,サイファーポール,1,世界政府の最高権力機関は五老星です。,2
漫画,ワンピース,その他,102,Dの意思を持つ者たちの共通点とは？,夢追い人,自由を求める者,運命に抗う者,世界を変える者,1,Dの意思を持つ者には「自由を求める者」という共通点があります。,3
漫画,ワンピース,その他,103,古代兵器「プルトン」とは何か？,巨大な船,最強の剣,空を飛ぶ鳥,海底に眠る都市,1,プルトンは巨大な船です。,3
漫画,ワンピース,その他,104,古代兵器「ウラヌス」とは何か？,不明,最強の剣,空を飛ぶ鳥,海底に眠る都市,1,ウラヌスはまだ詳細が不明です。,3
漫画,ワンピース,その他,105,悪魔の実を食べた能力者が泳げなくなる理由は？,海に嫌われるから,体が重くなるから,魔力が奪われるから,力が失われるから,1,悪魔の実の能力者は海に嫌われるため泳げなくなります。,3
漫画,ワンピース,その他,106,グランドラインの航海に必要な道具は？,ログポース,コンパス,地図,永久指針,1,グランドラインの航海にはログポースが必要です。,2
漫画,ワンピース,その他,107,海軍の最高戦力である大将は何人いる？,3人,4人,5人,6人,1,海軍大将は現在3人です。（元大将を含むと4人）,3
漫画,ワンピース,その他,108,世界会議（レヴェリー）は何年に一度開催される？,4年,3年,2年,1年,1,世界会議は4年に一度開催されます。,3
漫画,ワンピース,その他,109,シャンクスがルフィに麦わら帽子を託した理由は何？,未来の海賊王になるため,自分の夢を託すため,親友の息子だから,ルフィの強さに感銘を受けたから,1,シャンクスはルフィに自分の夢を託しました。,3
漫画,ワンピース,その他,110,白ひげの本名は何？,エドワード・ニューゲート,ポートガス・D・エース,マーシャル・D・ティーチ,ゴールド・ロジャー,1,白ひげの本名はエドワード・ニューゲートです。,2
漫画,ワンピース,その他,111,「ひとつなぎの大秘宝」ワンピースが眠る場所は？,ラフテル,マリージョア,聖地,偉大なる航路の終点,1,ワンピースはラフテルに眠るとされています。,2
漫画,ワンピース,その他,112,ルフィの夢は何？,海賊王になること,世界を旅すること,友達と冒険すること,世界中の人々と仲良くなること,1,ルフィの夢は海賊王になることです。,1
漫画,ワンピース,その他,113,ゾロの夢は何？,世界一の剣豪になること,ミホークを倒すこと,刀を集めること,海賊王の右腕になること,1,ゾロの夢は世界一の剣豪になることです。,1
漫画,ワンピース,その他,114,ナミの夢は何？,世界の全ての海図を描くこと,宝物を見つけること,故郷を再建すること,世界を旅すること,1,ナミの夢は世界の全ての海図を描くことです。,1
漫画,ワンピース,その他,115,ウソップの夢は何？,勇敢な海の戦士になること,世界一の狙撃手になること,カヤの病気を治すこと,嘘をつかないこと,1,ウソップの夢は勇敢な海の戦士になることです。,1
漫画,ワンピース,その他,116,サンジの夢は何？,オールブルーを見つけること,世界一の料理人になること,美女と出会うこと,故郷の海を見つけること,1,サンジの夢はオールブルーを見つけることです。,1
漫画,ワンピース,その他,117,チョッパーの夢は何？,万能薬になること,医者になること,仲間と冒険すること,人間になること,1,チョッパーの夢は万能薬になることです。,1
漫画,ワンピース,その他,118,ロビンの夢は何？,真の歴史を解き明かすこと,空白の100年を調べること,世界中の本を読むこと,古代兵器を見つけること,1,ロビンの夢は真の歴史を解き明かすことです。,1
漫画,ワンピース,その他,119,フランキーの夢は何？,夢の船を作る事,サニー号で世界一周する事,世界一の船大工になる事,古代兵器を作る事,1,フランキーの夢は夢の船を作ることです。,1
漫画,ワンピース,その他,120,ブルックの夢は何？,ラブーンと再会すること,世界一周する事,世界一の音楽家になる事,仲間と冒険する事,1,ブルックの夢はラブーンと再会することです。,1
漫画,ワンピース,その他,121,ジンベエの夢は何？,魚人族と人間が共存する世界を作ること,ルフィの仲間になること,海を泳ぎ回ること,魚人島の未来を見届けること,1,ジンベエの夢は魚人族と人間が共存する世界を作ることです。,1
漫画,ワンピース,その他,122,海賊旗のドクロマークの意味は？,自由と冒険の象徴,死の象徴,強さの象徴,悪の象徴,1,海賊旗のドクロマークは自由と冒険の象徴です。,2
漫画,ワンピース,その他,123,悪魔の実の能力を奪うことができるのは誰？,黒ひげ,シャンクス,カイドウ,ビッグ・マム,1,黒ひげは悪魔の実の能力を奪うことができます。,3
漫画,ワンピース,その他,124,海王類を操ることができる古代兵器は？,ポセイドン,プルトン,ウラヌス,ゾオン,1,ポセイドンは海王類を操ることができます。,2
漫画,ワンピース,その他,125,空島編で登場した歴史の本文（ポーネグリフ）の種類は？,歴史の本文,指示の本文,情報の本文,真実の本文,1,空島で登場したのは歴史の本文です。,3
漫画,ワンピース,その他,126,懸賞金が初めて設定されたのは誰？,ルフィ,ゾロ,ナミ,ウソップ,1,ルフィが初めて懸賞金をかけられました。,2
漫画,ワンピース,その他,127,世界政府の暗殺機関の名前は？,CP9,CP0,CP7,CP6,1,世界政府の暗殺機関はCP9です。,2
漫画,ワンピース,その他,128,麦わらの一味が初めて集結した場所は？,フーシャ村,シェルズタウン,シロップ村,ココヤシ村,1,麦わらの一味はシェルズタウンで初めて集結しました。,3
漫画,ワンピース,その他,129,グランドラインの入り口にある場所の名前は？,リヴァースマウンテン,ラフテル,フーシャ村,マリージョア,1,グランドラインの入り口はリヴァースマウンテンです。,2
漫画,ワンピース,その他,130,海軍本部の所在地は？,マリンフォード,エニエス・ロビー,インペルダウン,聖地マリージョア,1,海軍本部はマリンフォードにありました。（現在は新世界）,2
漫画,ワンピース,その他,131,白ひげ海賊団の船の名前は？,モビー・ディック号,ゴーイングメリー号,サウザンドサニー号,オーロ・ジャクソン号,1,白ひげ海賊団の船はモビー・ディック号です。,2
漫画,ワンピース,その他,132,ゴール・D・ロジャーの船の名前は？,オーロ・ジャクソン号,ゴーイングメリー号,サウザンドサニー号,モビー・ディック号,1,ロジャーの船はオーロ・ジャクソン号です。,2
漫画,ワンピース,その他,133,麦わらの一味の船大工は誰？,フランキー,ウソップ,サンジ,ゾロ,1,船大工はフランキーです。,1
漫画,ワンピース,その他,134,麦わらの一味の船医は誰？,チョッパー,ナミ,ロビン,ブルック,1,船医はチョッパーです。,1
漫画,ワンピース,その他,135,麦わらの一味の航海士は誰？,ナミ,ロビン,チョッパー,ブルック,1,航海士はナミです。,1
漫画,ワンピース,その他,136,麦わらの一味の考古学者は誰？,ロビン,ナミ,チョッパー,ブルック,1,考古学者はロビンです。,1
漫画,ワンピース,その他,137,麦わらの一味の音楽家は誰？,ブルック,ウソップ,サンジ,ゾロ,1,音楽家はブルックです。,1
漫画,ワンピース,その他,138,麦わらの一味の狙撃手は誰？,ウソップ,ゾロ,サンジ,フランキー,1,狙撃手はウソップです。,1
漫画,ワンピース,その他,139,麦わらの一味の料理人は誰？,サンジ,ルフィ,ゾロ,ウソップ,1,料理人はサンジです。,1
漫画,ワンピース,その他,140,麦わらの一味の剣士は誰？,ゾロ,ルフィ,サンジ,ウソップ,1,剣士はゾロです。,1
漫画,ワンピース,その他,141,ルフィの懸賞金が初めて上がった金額は？,3000万ベリー,1億ベリー,5000万ベリー,1億5000万ベリー,1,ルフィの懸賞金は初めて3000万ベリーになりました。,2
漫画,ワンピース,その他,142,「Dの意思」のDの意味は？,夢,自由,運命,詳細不明,1,Dの意思のDは詳細不明です。,3
漫画,ワンピース,その他,143,ワンピースの作者の名前は？,尾田栄一郎,鳥山明,岸本斉史,冨樫義博,1,ワンピースの作者は尾田栄一郎先生です。,1
漫画,ワンピース,その他,144,漫画「ワンピース」が連載開始されたのはいつ？,1997年,1999年,2001年,2003年,1,ワンピースの連載開始は1997年です。,2
漫画,ワンピース,その他,145,ワンピースの舞台となる世界の名前は？,ワンピースの世界,偉大なる航路,グランドライン,不明,1,ワンピースの舞台となる世界には特定の名前はありません。,3
漫画,ワンピース,その他,146,悪魔の実の能力を失う条件は？,海に落ちる,能力者が死ぬ,別の悪魔の実を食べる,能力者が意識を失う,1,悪魔の実の能力は能力者が死ぬと別の実として再生します。,3
漫画,ワンピース,その他,147,海軍の最高位の階級は？,元帥,大将,中将,少将,1,海軍の最高位は元帥です。,2
漫画,ワンピース,その他,148,世界政府を創設した20の王族の子孫は？,天竜人,五老星,世界貴族,世界政府の人間,1,世界政府を創設したのは天竜人です。,2
漫画,ワンピース,その他,149,古代文字（ポーネグリフ）を読めるのは誰？,ロビン,ビビ,コブラ,クロコダイル,1,ポーネグリフを読めるのはロビンです。,2
漫画,ワンピース,その他,150,「ワンピース」の宝が眠る島「ラフテル」は誰が見つけた？,ゴールド・ロジャー,白ひげ,シャンクス,ルフィ,1,ラフテルはゴールド・ロジャーが見つけました。,2
漫画,ワンピース,その他,151,魚人島に住む人魚の名前は？,しらほし,ケイミー,ココロ,オトヒメ,1,魚人島に住む人魚はしらほしです。,2
漫画,ワンピース,その他,152,麦わらの一味が初めて訪れた島は？,シェルズタウン,オレンジの町,シロップ村,フーシャ村,1,麦わらの一味が初めて訪れたのはシェルズタウンです。,3
漫画,ワンピース,その他,153,ルフィの義兄弟は誰？,エースとサボ,ゾロとサンジ,ナミとロビン,チョッパーとフランキー,1,ルフィの義兄弟はエースとサボです。,1
漫画,ワンピース,その他,154,海軍中将ガープの異名は何？,ゲンコツのガープ,英雄ガープ,海軍の鬼,伝説の海兵,1,ガープは「ゲンコツのガープ」と呼ばれています。,2
漫画,ワンピース,その他,155,シャンクスが所属する「四皇」とは何？,世界の四つの海賊団,最強の四つの海賊団,海軍の最高位,世界の支配者,1,四皇は世界の最強の四つの海賊団です。,2
漫画,ワンピース,その他,156,バギーが食べた悪魔の実は何？,バラバラの実,バクバクの実,モグモグの実,ドキドキの実,1,バギーはバラバラの実の能力者です。,2
漫画,ワンピース,その他,157,悪魔の実の図鑑は誰が持っている？,ベガパンク,シーザー・クラウン,クロコダイル,ドフラミンゴ,1,悪魔の実の図鑑は作中に存在するとされています。,3
