大分類,中分類,小分類,問題ID,問題本文,選択肢1,選択肢2,選択肢3,選択肢4,回答の選択肢番号,回答の解説,難易度
漫画,鋼の錬金術師,登場人物,HAGANE027,ホムンクルスの一人で、七つの大罪の一つ「色欲」を司るのは誰？,ラスト,グリード,スロウス,エンヴィー,1,「色欲」を司るのはラストです。,2
漫画,鋼の錬金術師,能力,HAGANE028,ラストの能力で、指先から鋭利な刃を伸ばす能力は何？,究極の槍,鋭利な爪,刃の錬金術,刺突,1,指先から鋭利な刃を伸ばすのは「究極の槍（アルティメットスピア）」です。,2
漫画,鋼の錬金術師,用語,HAGANE029,アメストリス国の中心にある、錬金術の総本山を何と呼ぶ？,中央司令部,セントラル,錬金術師協会,国家錬金術師本部,1,錬金術の総本山は「中央司令部」です。,1
漫画,鋼の錬金術師,登場人物,HAGANE030,ホムンクルスの一人で、七つの大罪の一つ「強欲」を司るのは誰？,グリード,スロウス,ラース,プライド,1,「強欲」を司るのはグリードです。,2
漫画,鋼の錬金術師,能力,HAGANE031,グリードの能力で、自身の肉体を硬化させる能力は何？,最強の盾,硬化能力,鋼鉄化,ダイヤモンドスキン,1,自身の肉体を硬化させるのは「最強の盾（アルティメットシールド）」です。,2
漫画,鋼の錬金術師,用語,HAGANE032,錬金術師が錬成を行う際に、物質の構成を理解するために必要な知識を何と呼ぶ？,物質の構成,物質の理解,物質の知識,物質の分解と再構築,4,物質の構成を理解するために必要なのは「物質の分解と再構築」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE033,ホムンクルスの一人で、七つの大罪の一つ「怠惰」を司るのは誰？,スロウス,ラース,プライド,エンヴィー,1,「怠惰」を司るのはスロウスです。,2
漫画,鋼の錬金術師,能力,HAGANE034,スロウスの能力で、超高速で移動する能力は何？,超高速移動,高速移動,瞬間移動,神速,1,超高速で移動するのは「超高速移動」です。,2
漫画,鋼の錬金術師,用語,HAGANE035,アメストリス国で、軍の最高司令官を務める人物を何と呼ぶ？,大総統,元帥,将軍,司令官,1,軍の最高司令官は「大総統」です。,1
漫画,鋼の錬金術師,登場人物,HAGANE036,ホムンクルスの一人で、七つの大罪の一つ「憤怒」を司るのは誰？,ラース,プライド,エンヴィー,グラトニー,1,「憤怒」を司るのはラースです。,2
漫画,鋼の錬金術師,能力,HAGANE037,ラースの能力で、未来を予測し、相手の動きを先読みする能力は何？,最強の眼,未来予知,先読み,千里眼,1,未来を予測し、相手の動きを先読みするのは「最強の眼（フューリーアイ）」です。,2
漫画,鋼の錬金術師,用語,HAGANE038,錬金術師が錬成を行う際に、物質の情報を読み取るために必要な道具を何と呼ぶ？,錬金術師の石,賢者の石,錬成陣,錬金術の道具,3,物質の情報を読み取るために必要なのは「錬成陣」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE039,エドワードとアルフォンスの師匠で、主婦の錬金術師は誰？,イズミ・カーティス,トリシャ・エルリック,サラ・ロックベル,ピナコ・ロックベル,1,エドワードたちの師匠はイズミ・カーティスです。,1
漫画,鋼の錬金術師,能力,HAGANE040,イズミ・カーティスの錬金術で、手合わせなしで錬成を行う能力は何？,真理の扉を見たから,賢者の石を持っているから,生まれつきの才能だから,特別な修行をしたから,1,イズミも真理の扉を見たため、手合わせなしで錬成を行えます。,2
漫画,鋼の錬金術師,用語,HAGANE041,アメストリス国で、軍の最高機密とされる計画を何と呼ぶ？,国土錬成陣計画,賢者の石製造計画,人体錬成計画,ホムンクルス計画,1,軍の最高機密とされる計画は「国土錬成陣計画」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE042,エドワードとアルフォンスの父親で、賢者の石の秘密を知る人物は誰？,ヴァン・ホーエンハイム,フラスコの中の小人,キング・ブラッドレイ,イズミ・カーティス,1,エドワードたちの父親はヴァン・ホーエンハイムです。,1
漫画,鋼の錬金術師,能力,HAGANE043,ヴァン・ホーエンハイムの能力で、賢者の石の力を使って錬金術を行う能力は何？,賢者の石の錬金術,不老不死,魂の錬金術,生命の錬金術,1,賢者の石の力を使って錬金術を行うのは「賢者の石の錬金術」です。,2
漫画,鋼の錬金術師,用語,HAGANE044,アメストリス国で、軍の内部に潜むホムンクルスの存在を何と呼ぶ？,影の政府,裏の組織,ホムンクルスの陰謀,軍の闇,1,軍の内部に潜むホムンクルスの存在は「影の政府」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE045,東方司令部の司令官で、ロイ・マスタングの同期でもあるのは誰？,グラマン,バッカニア,マイルズ,オリヴィエ・ミラ・アームストロング,1,東方司令部の司令官はグラマンです。,3
漫画,鋼の錬金術師,能力,HAGANE046,グラマンの能力で、罠や計略を仕掛けるのが得意なのは何？,策略家,知略家,策士,軍師,1,罠や計略を仕掛けるのが得意なのは「策略家」です。,2
漫画,鋼の錬金術師,用語,HAGANE047,錬金術師が錬成を行う際に、物質の質量を変化させることを何と呼ぶ？,質量変換,質量変化,質量錬成,質量操作,1,物質の質量を変化させるのは「質量変換」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE048,北方司令部の司令官で、「ブリッグズの北壁」と呼ばれるのは誰？,オリヴィエ・ミラ・アームストロング,アレックス・ルイ・アームストロング,バッカニア,マイルズ,1,「ブリッグズの北壁」はオリヴィエ・ミラ・アームストロングです。,1
漫画,鋼の錬金術師,能力,HAGANE049,オリヴィエ・ミラ・アームストロングの能力で、剣術と体術を組み合わせた戦闘スタイルは何？,剣術と体術,アームストロング流,ブリッグズ流,氷雪の剣,1,剣術と体術を組み合わせた戦闘スタイルは「剣術と体術」です。,2
漫画,鋼の錬金術師,用語,HAGANE050,錬金術師が錬成を行う際に、物質の形を変化させることを何と呼ぶ？,形態変化,形質変化,形状錬成,形態操作,1,物質の形を変化させるのは「形態変化」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE051,シン国の皇子で、錬丹術を使うのは誰？,リン・ヤオ,メイ・チャン,フー,ランファン,1,シン国の皇子で錬丹術を使うのはリン・ヤオです。,1
漫画,鋼の錬金術師,能力,HAGANE052,リン・ヤオの能力で、気配を消し、相手に気づかれずに接近する能力は何？,気配遮断,隠密行動,暗殺術,影移動,1,気配を消し、相手に気づかれずに接近するのは「気配遮断」です。,2
漫画,鋼の錬金術師,用語,HAGANE053,錬丹術の基本原則で、生命エネルギーを操る考え方を何と呼ぶ？,生命エネルギーの操作,気の流れ,生命の錬成,生命の循環,1,生命エネルギーを操る考え方は「生命エネルギーの操作」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE054,シン国の皇女で、錬丹術を使うのは誰？,メイ・チャン,リン・ヤオ,フー,ランファン,1,シン国の皇女で錬丹術を使うのはメイ・チャンです。,1
漫画,鋼の錬金術師,能力,HAGANE055,メイ・チャンの能力で、遠隔で錬丹術を使う能力は何？,遠隔錬丹術,遠隔操作,遠隔治療,遠隔攻撃,1,遠隔で錬丹術を使うのは「遠隔錬丹術」です。,2
漫画,鋼の錬金術師,用語,HAGANE056,錬丹術師が使用する、生命エネルギーを流すための道具を何と呼ぶ？,錬丹術の道具,気の流れの道具,生命の道具,気の道具,1,生命エネルギーを流すための道具は「錬丹術の道具」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE057,シン国の護衛で、リン・ヤオに忠実に仕えるのは誰？,ランファン,フー,メイ・チャン,シャオメイ,1,リン・ヤオに忠実に仕えるのはランファンです。,1
漫画,鋼の錬金術師,能力,HAGANE058,ランファンの能力で、手裏剣を使った戦闘スタイルは何？,手裏剣術,暗器術,投擲術,忍術,1,手裏剣を使った戦闘スタイルは「手裏剣術」です。,2
漫画,鋼の錬金術師,用語,HAGANE059,アメストリス国で、軍の最高機密とされる「賢者の石」の製造方法を何と呼ぶ？,賢者の石の製造方法,賢者の石の錬成方法,賢者の石の秘密,賢者の石の製法,1,賢者の石の製造方法は「賢者の石の製造方法」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE060,シン国の護衛で、フーの孫娘でもあるのは誰？,シャオメイ,ランファン,メイ・チャン,リン・ヤオ,1,フーの孫娘はシャオメイです。,3
漫画,鋼の錬金術師,能力,HAGANE061,シャオメイの能力で、小型のパンダの姿をしているのは何？,小型パンダ,パンダの姿,動物の姿,変身能力,1,小型のパンダの姿をしているのは「小型パンダ」です。,2
漫画,鋼の錬金術師,用語,HAGANE062,錬金術師が錬成を行う際に、物質の情報を読み取るために必要な知識を何と呼ぶ？,物質の知識,物質の理解,物質の構成,物質の分析,1,物質の情報を読み取るために必要なのは「物質の知識」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE063,アメストリス軍の少佐で、マース・ヒューズの部下だったのは誰？,ジャン・ハボック,ハイマンス・ブレダ,ケイン・フューリー,ヴァトー・ファルマン,1,マース・ヒューズの部下はジャン・ハボックです。,2
漫画,鋼の錬金術師,能力,HAGANE064,ジャン・ハボックの能力で、タバコを使った戦闘スタイルは何？,タバコ術,煙幕術,火炎術,爆煙術,1,タバコを使った戦闘スタイルは「タバコ術」です。,2
漫画,鋼の錬金術師,用語,HAGANE065,アメストリス国で、軍の最高機密とされる「ホムンクルス」の正体を何と呼ぶ？,ホムンクルスの正体,ホムンクルスの秘密,ホムンクルスの真実,ホムンクルスの存在,1,ホムンクルスの正体は「ホムンクルスの正体」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE066,アメストリス軍の少佐で、マース・ヒューズの部下だったのは誰？,ハイマンス・ブレダ,ジャン・ハボック,ケイン・フューリー,ヴァトー・ファルマン,1,マース・ヒューズの部下はハイマンス・ブレダです。,2
漫画,鋼の錬金術師,能力,HAGANE067,ハイマンス・ブレダの能力で、嗅覚が非常に優れているのは何？,嗅覚強化,優れた嗅覚,犬並みの嗅覚,動物の嗅覚,1,嗅覚が非常に優れているのは「嗅覚強化」です。,2
漫画,鋼の錬金術師,用語,HAGANE068,錬金術師が錬成を行う際に、物質のエネルギーを変化させることを何と呼ぶ？,エネルギー変換,エネルギー変化,エネルギー錬成,エネルギー操作,1,物質のエネルギーを変化させるのは「エネルギー変換」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE069,アメストリス軍の少尉で、マース・ヒューズの部下だったのは誰？,ケイン・フューリー,ジャン・ハボック,ハイマンス・ブレダ,ヴァトー・ファルマン,1,マース・ヒューズの部下はケイン・フューリーです。,2
漫画,鋼の錬金術師,能力,HAGANE070,ケイン・フューリーの能力で、通信機器の扱いに長けているのは何？,通信技術,情報収集,通信操作,情報分析,1,通信機器の扱いに長けているのは「通信技術」です。,2
漫画,鋼の錬金術師,用語,HAGANE071,アメストリス国で、軍の最高機密とされる「真理の扉」の存在を何と呼ぶ？,真理の扉の存在,真理の扉の秘密,真理の扉の真実,真理の扉の開け方,1,真理の扉の存在は「真理の扉の存在」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE072,アメストリス軍の少尉で、マース・ヒューズの部下だったのは誰？,ヴァトー・ファルマン,ジャン・ハボック,ハイマンス・ブレダ,ケイン・フューリー,1,マース・ヒューズの部下はヴァトー・ファルマンです。,2
漫画,鋼の錬金術師,能力,HAGANE073,ヴァトー・ファルマンの能力で、記憶力が非常に優れているのは何？,記憶力強化,優れた記憶力,記憶操作,記憶術,1,記憶力が非常に優れているのは「記憶力強化」です。,2
漫画,鋼の錬金術師,用語,HAGANE074,錬金術師が錬成を行う際に、物質の構成を変化させることを何と呼ぶ？,構成変化,構成変換,構成錬成,構成操作,1,物質の構成を変化させるのは「構成変化」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE075,アメストリス軍の准将で、東方司令部のグラマンの部下だったのは誰？,バッカニア,マイルズ,オリヴィエ・ミラ・アームストロング,アレックス・ルイ・アームストロング,1,グラマンの部下はバッカニアです。,3
漫画,鋼の錬金術師,能力,HAGANE076,バッカニアの能力で、機械鎧の腕を持つのは何？,機械鎧の腕,義手の腕,オートメイルの腕,強化された腕,1,機械鎧の腕を持つのは「機械鎧の腕」です。,2
漫画,鋼の錬金術師,用語,HAGANE077,アメストリス国で、軍の最高機密とされる「人体錬成」の禁忌を何と呼ぶ？,人体錬成の禁忌,人体錬成のタブー,人体錬成の罪,人体錬成の過ち,1,人体錬成の禁忌は「人体錬成の禁忌」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE078,アメストリス軍の少佐で、北方司令部のオリヴィエの部下だったのは誰？,マイルズ,バッカニア,アレックス・ルイ・アームストロング,ジャン・ハボック,1,オリヴィエの部下はマイルズです。,3
漫画,鋼の錬金術師,能力,HAGANE079,マイルズの能力で、イシュヴァール人の血を引くのは何？,イシュヴァール人の血,混血,異民族の血,先祖の血,1,イシュヴァール人の血を引くのは「イシュヴァール人の血」です。,2
漫画,鋼の錬金術師,用語,HAGANE080,錬金術師が錬成を行う際に、物質の情報を読み取るために必要な道具を何と呼ぶ？,錬成陣,錬金術の道具,賢者の石,錬金術師の石,1,物質の情報を読み取るために必要なのは「錬成陣」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE081,イシュヴァール人の復讐者で、「傷の男」と呼ばれるのは誰？,スカー,メイ・チャン,リン・ヤオ,フー,1,「傷の男」はスカーです。,1
漫画,鋼の錬金術師,能力,HAGANE082,スカーの能力で、左腕を使って分解錬金術を行う能力は何？,分解錬金術,破壊錬金術,破壊術,分解術,1,左腕を使って分解錬金術を行うのは「分解錬金術」です。,2
漫画,鋼の錬金術師,用語,HAGANE083,アメストリス国で、軍の最高機密とされる「ホムンクルス」の目的を何と呼ぶ？,ホムンクルスの目的,ホムンクルスの計画,ホムンクルスの野望,ホムンクルスの企み,1,ホムンクルスの目的は「ホムンクルスの目的」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE084,アメストリス軍の軍医で、マース・ヒューズの友人だったのは誰？,ドクター・マルコー,ティム・マルコー,ショウ・タッカー,バスク・グラン,1,マース・ヒューズの友人だったのはドクター・マルコーです。,1
漫画,鋼の錬金術師,能力,HAGANE085,ドクター・マルコーの能力で、賢者の石の製造方法を知る錬金術師は誰？,賢者の石の製造方法を知る,賢者の石の知識,賢者の石の秘密,賢者の石の錬成方法,1,賢者の石の製造方法を知るのは「賢者の石の製造方法を知る」です。,2
漫画,鋼の錬金術師,用語,HAGANE086,錬金術師が錬成を行う際に、物質の情報を読み取るために必要な道具を何と呼ぶ？,錬成陣,錬金術の道具,賢者の石,錬金術師の石,1,物質の情報を読み取るために必要なのは「錬成陣」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE087,アメストリス軍の少佐で、合成獣（キメラ）の研究を行っていたのは誰？,ショウ・タッカー,ドクター・マルコー,バスク・グラン,ティム・マルコー,1,合成獣の研究を行っていたのはショウ・タッカーです。,1
漫画,鋼の錬金術師,能力,HAGANE088,ショウ・タッカーの能力で、合成獣（キメラ）を錬成する能力は何？,合成獣錬成,キメラ錬成,生物錬成,生命錬成,1,合成獣を錬成するのは「合成獣錬成」です。,2
漫画,鋼の錬金術師,用語,HAGANE089,アメストリス国で、軍の最高機密とされる「賢者の石」の原材料を何と呼ぶ？,人間の魂,生命エネルギー,錬金術師の血,賢者の血,1,賢者の石の原材料は「人間の魂」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE090,アメストリス軍の准将で、東方司令部のグラマンの部下だったのは誰？,バスク・グラン,マイルズ,オリヴィエ・ミラ・アームストロング,アレックス・ルイ・アームストロング,1,グラマンの部下はバスク・グランです。,3
漫画,鋼の錬金術師,能力,HAGANE091,バスク・グランの能力で、槍を使った戦闘スタイルは何？,槍術,槍の錬金術,槍の技,槍の達人,1,槍を使った戦闘スタイルは「槍術」です。,2
漫画,鋼の錬金術師,用語,HAGANE092,錬金術師が錬成を行う際に、物質の情報を読み取るために必要な道具を何と呼ぶ？,錬成陣,錬金術の道具,賢者の石,錬金術師の石,1,物質の情報を読み取るために必要なのは「錬成陣」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE093,アメストリス軍の少佐で、マスタングの部下だったのは誰？,マース・ヒューズ,リザ・ホークアイ,ジャン・ハボック,ハイマンス・ブレダ,1,マスタングの部下はマース・ヒューズです。,1
漫画,鋼の錬金術師,能力,HAGANE094,マース・ヒューズの能力で、情報収集と分析に長けているのは何？,情報収集,情報分析,情報操作,情報戦,1,情報収集と分析に長けているのは「情報収集」です。,2
漫画,鋼の錬金術師,用語,HAGANE095,アメストリス国で、軍の最高機密とされる「ホムンクルス」の創造主を何と呼ぶ？,お父様,創造主,生みの親,ホムンクルスの父,1,ホムンクルスの創造主は「お父様」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE096,エドワードとアルフォンスの母親の名前は？,トリシャ・エルリック,イズミ・カーティス,サラ・ロックベル,ピナコ・ロックベル,1,エドワードたちの母親はトリシャ・エルリックです。,1
漫画,鋼の錬金術師,能力,HAGANE097,トリシャ・エルリックの能力で、料理が得意なのは何？,料理上手,料理の才能,料理の腕前,料理の達人,1,料理が得意なのは「料理上手」です。,2
漫画,鋼の錬金術師,用語,HAGANE098,錬金術師が錬成を行う際に、物質の情報を読み取るために必要な道具を何と呼ぶ？,錬成陣,錬金術の道具,賢者の石,錬金術師の石,1,物質の情報を読み取るために必要なのは「錬成陣」です。,2
漫画,鋼の錬金術師,登場人物,HAGANE099,ウィンリィ・ロックベルの祖母で、機械鎧整備士の師匠でもあるのは誰？,ピナコ・ロックベル,サラ・ロックベル,トリシャ・エルリック,イズミ・カーティス,1,ウィンリィの祖母で機械鎧整備士の師匠はピナコ・ロックベルです。,1
漫画,鋼の錬金術師,能力,HAGANE100,ピナコ・ロックベルの能力で、機械鎧の整備技術に長けているのは何？,機械鎧整備技術,整備の腕前,機械の知識,修理技術,1,機械鎧の整備技術に長けているのは「機械鎧整備技術」です。,2
