大分類,中分類,小分類,問題ID,問題本文,選択肢1,選択肢2,選択肢3,選択肢4,回答の選択肢番号,回答の解説,難易度
漫画,呪術廻戦,登場人物,JJT041,特級呪霊の一人で、花のような姿をしているのは誰？,花御,漏瑚,陀艮,真人,1,花のような姿をしているのは花御です。,2
漫画,呪術廻戦,能力,JJT042,宿儺の領域展開「伏魔御厨子」の範囲は？,半径200m,半径100m,半径50m,半径300m,1,宿儺の領域展開は半径200mです。,2
漫画,呪術廻戦,登場人物,JJT043,呪術高専京都校の教師で、京都校の学長でもあるのは誰？,楽巌寺嘉伸,庵歌姫,冥冥,夜蛾正道,1,京都校の学長は楽巌寺嘉伸です。,2
漫画,呪術廻戦,用語,JJT044,呪力が溜まった場所に自然発生する、人間から生まれた怪物を何と呼ぶ？,呪霊,悪霊,幽霊,怨霊,1,人間から生まれた怪物は「呪霊」です。,1
漫画,呪術廻戦,登場人物,JJT045,特級呪霊の一人で、火山のような頭部をしているのは誰？,漏瑚,花御,陀艮,真人,1,火山のような頭部をしているのは漏瑚です。,2
漫画,呪術廻戦,能力,JJT046,乙骨憂太の術式で、あらゆる術式をコピーして使う能力は何？,模倣,コピー,写輪眼,写像,1,あらゆる術式をコピーできるのは「模倣（もほう）」です。,3
漫画,呪術廻戦,登場人物,JJT047,呪術高専の学長で、パンダの生みの親でもあるのは誰？,夜蛾正道,五条悟,楽巌寺嘉伸,庵歌姫,1,パンダの生みの親は夜蛾正道です。,1
漫画,呪術廻戦,用語,JJT048,呪術師が呪力を込めた紙で、呪霊を祓うために使われるものを何と呼ぶ？,呪符,呪具,呪物,呪紋,1,呪力を込めた紙は「呪符」です。,1
漫画,呪術廻戦,登場人物,JJT049,特級呪霊の一人で、海の生き物のような姿をしているのは誰？,陀艮,漏瑚,花御,真人,1,海の生き物のような姿をしているのは陀艮です。,2
漫画,呪術廻戦,能力,JJT050,伏黒恵の術式で、影を媒介にして式神を召喚する能力は何？,十種影法術,影操術,式神使い,十影術,1,影を媒介にして式神を召喚するのは「十種影法術（とくさのかげぼうじゅつ）」です。,2
漫画,呪術廻戦,登場人物,JJT051,虎杖悠仁の通っていた杉沢第三高校の教師で、呪術とは無関係な人物は誰？,伊地知潔高,新田明,日下部篤也,佐々木,1,呪術とは無関係な人物は伊地知潔高ではありません。,3
漫画,呪術廻戦,用語,JJT052,呪術師が呪力を込めた人体の一部や物品で、強い呪いを帯びたものを何と呼ぶ？,呪物,呪具,呪符,呪紋,1,呪力を帯びた人体の一部や物品は「呪物」です。,1
漫画,呪術廻戦,登場人物,JJT053,特級呪霊の一人で、人間の醜い感情から生まれたのは誰？,真人,漏瑚,花御,陀艮,1,人間の醜い感情から生まれたのは真人です。,2
漫画,呪術廻戦,能力,JJT054,五条悟の術式「無下限呪術」の基本術式で、空間から虚空を生み出す能力は何？,赫,蒼,茈,虚式,1,虚空を生み出すのは「赫（あか）」です。,2
漫画,呪術廻戦,登場人物,JJT055,呪術高専の教師で、虎杖悠仁に体術を教えたのは誰？,五条悟,七海建人,東堂葵,夜蛾正道,1,虎杖悠仁に体術を教えたのは五条悟です。,2
漫画,呪術廻戦,用語,JJT056,呪術師が術式を発動する際に唱える、呪力を込めた言葉を何と呼ぶ？,術式発動,詠唱,呪詞,言霊,2,術式を発動する際に唱えるのは「詠唱」です。,1
漫画,呪術廻戦,登場人物,JJT057,伏黒恵の姉の名前は？,伏黒津美紀,伏黒恵美,伏黒真希,伏黒真依,1,伏黒恵の姉は伏黒津美紀です。,1
漫画,呪術廻戦,能力,JJT058,呪力を込めたパンチで、相手に間接的なダメージを与える技は何？,逕庭拳,黒閃,呪力強化,反転術式,1,間接的なダメージを与えるのは「逕庭拳」です。,2
漫画,呪術廻戦,登場人物,JJT059,呪術高専京都校の生徒で、人形を操る術式を使うのは誰？,西宮桃,三輪霞,究極メカ丸,与幸吉,1,人形を操る術式を使うのは西宮桃です。,3
漫画,呪術廻戦,用語,JJT060,呪術師が死んだ際に、その呪力が残って発生する呪いを何と呼ぶ？,怨霊,呪詛,悪霊,呪物,2,死んだ際に残る呪いは「呪詛」です。,2
漫画,呪術廻戦,登場人物,JJT061,特級呪霊の兄弟で、脹相、壊相、血塗の総称は何？,受胎九相図,血の呪霊,九相図兄弟,呪胎九相図,1,脹相、壊相、血塗の総称は「受胎九相図（じゅたいくそうず）」です。,2
漫画,呪術廻戦,能力,JJT062,反転術式で、負の呪力を正の呪力に変換し、肉体を修復する能力は何？,反転術式,治癒術式,再生術式,回復術式,1,負の呪力を正の呪力に変換するのは「反転術式」です。,1
漫画,呪術廻戦,登場人物,JJT063,呪術高専の補助監督で、冷静沈着な性格の男性は誰？,新田明,伊地知潔高,日下部篤也,七海建人,1,冷静沈着な性格なのは新田明です。,3
漫画,呪術廻戦,用語,JJT064,呪術師が呪霊の呪力を逆手に取り、自分の力とする術式を何と呼ぶ？,術式反転,領域展延,簡易領域,縛り,1,呪霊の呪力を逆手にとるのは「術式反転」です。,2
漫画,呪術廻戦,登場人物,JJT065,呪術高専東京校の生徒で、おにぎりの具で会話する特徴を持つのは誰？,狗巻棘,パンダ,禪院真希,乙骨憂太,1,おにぎりの具で会話するのは狗巻棘です。,1
漫画,呪術廻戦,能力,JJT066,宿儺が指を一本取り込んだ虎杖悠仁の能力で、呪力がなくても呪霊が見えるようになるのは何？,呪力感知,呪霊視覚,呪力探知,呪霊探知,1,呪霊が見えるようになるのは「呪力感知」です。,2
漫画,呪術廻戦,登場人物,JJT067,呪術高専の教師で、呪術高専東京校の教頭でもあるのは誰？,夜蛾正道,五条悟,庵歌姫,楽巌寺嘉伸,1,呪術高専東京校の教頭は夜蛾正道です。,1
漫画,呪術廻戦,用語,JJT068,呪力を込めない打撃で、相手の肉体に間接的なダメージを与える技は何？,逕庭拳,黒閃,呪力強化,反転術式,1,呪力を込めない打撃で間接的なダメージを与えるのは「逕庭拳」です。,2
漫画,呪術廻戦,登場人物,JJT069,呪術高専を卒業し、サラリーマンとして働いていた元呪術師は誰？,七海建人,日下部篤也,伊地知潔高,新田明,1,サラリーマンとして働いていたのは七海建人です。,1
漫画,呪術廻戦,能力,JJT070,五条悟の領域展開で、脳に無限の情報量を送りつけ、行動不能にするのは何？,無量空処,無限の領域,虚空の空間,無限の脳内,1,脳に無限の情報量を送りつけるのは「無量空処（むりょうくうしょ）」です。,2
漫画,呪術廻戦,登場人物,JJT071,禪院家の当主で、禪院真希と真依の父親の名前は？,禪院扇,禪院直毘人,禪院直哉,禪院甚壱,1,禪院真希と真依の父親は禪院扇です。,3
漫画,呪術廻戦,用語,JJT072,呪霊が生まれた場所や、特定の条件を満たした場所でしか発動できない術式を何と呼ぶ？,生得術式,固有術式,限定術式,領域術式,1,特定の場所でしか発動できない術式は「生得術式」です。,2
漫画,呪術廻戦,登場人物,JJT073,呪術高専京都校の生徒で、呪具「メカ丸」の本体は誰？,与幸吉,三輪霞,西宮桃,加茂憲紀,1,メカ丸の本体は与幸吉です。,3
漫画,呪術廻戦,能力,JJT074,宿儺が展開する領域「伏魔御厨子」の特性は？,領域内に逃げ場がない,必中効果を持つ,領域の強制展開,呪力が無限になる,2,伏魔御厨子は必中効果を持ちます。,2
漫画,呪術廻戦,登場人物,JJT075,五条悟の先輩で、呪術高専の教師でもあるのは誰？,庵歌姫,家入硝子,冥冥,夜蛾正道,1,五条悟の先輩は庵歌姫です。,2
漫画,呪術廻戦,用語,JJT076,呪力が流れる通路で、呪力を効率よく使うための体の仕組みを何と呼ぶ？,呪力回路,呪力経路,呪力線,呪力道,1,呪力を効率よく使う体の仕組みは「呪力回路」です。,3
漫画,呪術廻戦,登場人物,JJT077,呪術高専東京校の生徒で、パンダの姿をしているのは誰？,パンダ,狗巻棘,禪院真希,乙骨憂太,1,パンダの姿をしているのはパンダです。,1
漫画,呪術廻戦,能力,JJT078,伏黒恵の術式で、玉犬を召喚し、呪霊を捕食させる能力は何？,玉犬,影操術,式神使い,十種影法術,1,玉犬を召喚して捕食させるのは「玉犬」です。,1
漫画,呪術廻戦,登場人物,JJT079,虎杖悠仁が初めて出会った呪霊はどこにいた？,杉沢第三高校,虎杖の家,病院,公園,1,虎杖が初めて出会った呪霊は杉沢第三高校にいました。,1
漫画,呪術廻戦,用語,JJT080,呪力が全くない代わりに、常人離れした身体能力を持つ人を何と呼ぶ？,天与呪縛,肉体強化,呪力ゼロ,異能力者,1,呪力が全くない代わりに常人離れした身体能力を持つのは「天与呪縛（てんよじゅばく）」です。,2
漫画,呪術廻戦,登場人物,JJT081,呪術高専京都校の生徒で、箒に乗って移動する女性は誰？,西宮桃,三輪霞,加茂憲紀,真依,1,箒に乗って移動するのは西宮桃です。,1
漫画,呪術廻戦,能力,JJT082,禪院真依の術式で、呪力を込めた弾丸を生成する能力は何？,構築術式,弾丸生成,呪力弾,呪力操作,1,呪力を込めた弾丸を生成するのは「構築術式」です。,2
漫画,呪術廻戦,登場人物,JJT083,呪術高専の補助監督で、過去に夏油傑と関わりがあったのは誰？,日下部篤也,伊地知潔高,新田明,七海建人,1,過去に夏油傑と関わりがあったのは日下部篤也です。,3
漫画,呪術廻戦,用語,JJT084,呪霊の存在を知覚し、その形を認識する能力を何と呼ぶ？,呪霊認識,呪力視,呪霊探知,呪霊感知,2,呪霊の存在を知覚し形を認識するのは「呪力視」です。,2
漫画,呪術廻戦,登場人物,JJT085,呪術高専東京校の生徒で、特級過呪怨霊・里香を従えているのは誰？,乙骨憂太,虎杖悠仁,伏黒恵,五条悟,1,特級過呪怨霊・里香を従えているのは乙骨憂太です。,1
漫画,呪術廻戦,能力,JJT086,五条悟の術式「無下限呪術」の基本術式で、空間を拡張させる能力は何？,蒼,赫,茈,虚式,1,空間を拡張させるのは「蒼（あお）」です。,2
漫画,呪術廻戦,登場人物,JJT087,呪術高専の教師で、いつもサングラスをかけているのは誰？,五条悟,夜蛾正道,庵歌姫,家入硝子,1,いつもサングラスをかけているのは五条悟です。,1
漫画,呪術廻戦,用語,JJT088,呪術師が呪力を体内で循環させ、術式を安定させる訓練を何と呼ぶ？,呪力操作,呪力制御,呪力循環,呪力練度,1,呪力を体内で循環させる訓練は「呪力操作」です。,2
漫画,呪術廻戦,登場人物,JJT089,呪術高専の補助監督で、車の運転手も兼ねているのは誰？,伊地知潔高,新田明,日下部篤也,七海建人,1,車の運転手も兼ねているのは伊地知潔高です。,1
漫画,呪術廻戦,能力,JJT090,脹相の術式で、血液を操り、様々な形状に変化させる能力は何？,赤血操術,血盟術式,血液操作,血術,1,血液を操るのは「赤血操術（せっけつそうじゅつ）」です。,2
漫画,呪術廻戦,登場人物,JJT091,特級呪霊の漏瑚が召喚する火山のような頭を持つ呪霊の名前は？,火山頭,火の呪霊,炎の呪霊,火山呪霊,1,漏瑚が召喚する火山のような頭を持つ呪霊は「火山頭」です。,3
漫画,呪術廻戦,用語,JJT092,呪術師が呪力を込めずに素手で戦う体術を何と呼ぶ？,体術,格闘術,打撃術,呪力なし格闘術,1,呪力を込めずに素手で戦う体術は「体術」です。,1
漫画,呪術廻戦,登場人物,JJT093,呪術高専東京校の生徒で、禪院真希の双子の妹は誰？,禪院真依,禪院真希,禪院直哉,禪院扇,1,禪院真希の双子の妹は禪院真依です。,1
漫画,呪術廻戦,能力,JJT094,伏黒恵の式神「八握剣異戒神将 魔虚羅」の能力は？,あらゆる事象に適応する,あらゆる術式を無効化する,あらゆる攻撃を跳ね返す,あらゆる呪霊を吸収する,1,あらゆる事象に適応するのは「八握剣異戒神将 魔虚羅（やつかのつるぎいかいしんしょう まこら）」です。,3
漫画,呪術廻戦,登場人物,JJT095,呪術高専京都校の生徒で、刀を使うのが得意なのは誰？,三輪霞,西宮桃,加茂憲紀,東堂葵,1,刀を使うのが得意なのは三輪霞です。,1
漫画,呪術廻戦,用語,JJT096,呪術師が呪力を使って体を回復させる術式を何と呼ぶ？,反転術式,治癒術式,再生術式,回復術式,1,呪力を使って体を回復させるのは「反転術式」です。,1
漫画,呪術廻戦,登場人物,JJT097,呪術高専東京校の生徒で、普段はパンダの姿をしているが、その正体は人間ではないのは誰？,パンダ,狗巻棘,禪院真希,乙骨憂太,1,正体が人間ではないのはパンダです。,1
漫画,呪術廻戦,能力,JJT098,呪霊・真人が展開する領域「自閉円頓裹」の特性は？,領域内に強制的に引き込む,魂に触れることができる,領域内の術式を無効化する,領域内の呪力を吸収する,2,魂に触れることができるのが「自閉円頓裹（じへいえんどんか）」です。,3
漫画,呪術廻戦,登場人物,JJT099,虎杖悠仁が通っていた杉沢第三高校のオカルト研究部の部長は誰？,佐々木,井口,竹内,佐藤,1,オカルト研究部の部長は佐々木です。,1
漫画,呪術廻戦,用語,JJT100,呪力で編み上げた呪いの鎖で、相手を拘束する技は何？,呪縛,呪い,縛鎖,呪力鎖,1,呪力で編み上げた鎖は「呪縛」です。,2
