大分類,中分類,小分類,問題ID,問題本文,選択肢1,選択肢2,選択肢3,選択肢4,回答の選択肢番号,回答の解説,難易度
ゲーム,ポケモン赤緑,登場ポケモン,POKEMON_RG037,ポケモンタワーで入手できるアイテムで、幽霊を見破るために必要なものは？,シルフスコープ,ポケモンの笛,自転車,釣竿,1,幽霊を見破るにはシルフスコープが必要です。,2
ゲーム,ポケモン赤緑,道具,POKEMON_RG038,特定の場所でポケモンを捕まえやすくする道具は？,スーパーボール,ハイパーボール,マスターボール,モンスターボール,1,捕まえやすくするのはスーパーボールやハイパーボールです。,1
ゲーム,ポケモン赤緑,道具,POKEMON_RG039,ポケモンタワーの幽霊を追い払うために必要な道具は？,ポケモンの笛,シルフスコープ,自転車,釣竿,1,幽霊を追い払うにはポケモンの笛が必要です。,2
ゲーム,ポケモン赤緑,道具,POKEMON_RG040,移動速度を2倍にする道具は？,じてんしゃ,スケートボード,ローラーブレード,ランニングシューズ,1,移動速度を2倍にするのは自転車です。,1
ゲーム,ポケモン赤緑,道具,POKEMON_RG041,水辺でポケモンを釣るための道具は？,つりざお,ネット,ルアー,水中メガネ,1,水辺でポケモンを釣るための道具は釣竿です。,1
ゲーム,ポケモン赤緑,道具,POKEMON_RG042,特定のポケモンを進化させるために必要な「いし」系の道具で、ヒトカゲを進化させるために必要なものは？,ほのおのいし,みずのいし,かみなりのいし,リーフのいし,1,ヒトカゲを進化させるのは炎の石です。,2
ゲーム,ポケモン赤緑,道具,POKEMON_RG043,特定のポケモンを進化させるために必要な「いし」系の道具で、ゼニガメを進化させるために必要なものは？,みずのいし,ほのおのいし,かみなりのいし,リーフのいし,1,ゼニガメを進化させるのは水の石です。,2
ゲーム,ポケモン赤緑,道具,POKEMON_RG044,特定のポケモンを進化させるために必要な「いし」系の道具で、ピカチュウを進化させるために必要なものは？,かみなりのいし,ほのおのいし,みずのいし,リーフのいし,1,ピカチュウを進化させるのは雷の石です。,2
ゲーム,ポケモン赤緑,道具,POKEMON_RG045,特定のポケモンを進化させるために必要な「いし」系の道具で、フシギダネを進化させるために必要なものは？,リーフのいし,ほのおのいし,みずのいし,かみなりのいし,1,フシギダネを進化させるのはリーフの石です。,2
ゲーム,ポケモン赤緑,道具,POKEMON_RG046,ポケモンのHPを全回復させる道具は？,まんたんのくすり,いいキズぐすり,かいふくのくすり,げんきのかけら,1,HPを全回復させるのはまんたんのくすりです。,2
ゲーム,ポケモン赤緑,道具,POKEMON_RG047,瀕死のポケモンを復活させる道具は？,げんきのかけら,まんたんのくすり,いいキズぐすり,かいふくのくすり,1,瀕死のポケモンを復活させるのはげんきのかけらです。,2
ゲーム,ポケモン赤緑,道具,POKEMON_RG048,ポケモンの状態異常を全て回復させる道具は？,なんでもなおし,どくけし,まひなおし,ねむけざまし,1,状態異常を全て回復させるのはなんでもなおしです。,2
ゲーム,ポケモン赤緑,道具,POKEMON_RG049,特定の技をポケモンに覚えさせるための道具は？,わざマシン,ひでんマシン,おしえわざ,わざレコード,1,特定の技を覚えさせるのはわざマシンです。,1
ゲーム,ポケモン赤緑,道具,POKEMON_RG050,フィールド上で特定の行動を可能にするための道具は？,ひでんマシン,わざマシン,どうぐ,きのみ,1,フィールド上で行動を可能にするのはひでんマシンです。,1
ゲーム,ポケモン赤緑,システム,POKEMON_RG051,野生のポケモンと遭遇する確率が上がる場所として有名なのは？,草むら,道,水辺,洞窟,1,遭遇確率が上がるのは草むらです。,1
ゲーム,ポケモン赤緑,システム,POKEMON_RG052,ポケモンセンターの役割は？,ポケモンの回復,ポケモンの交換,道具の購入,ポケモンの進化,1,ポケモンセンターの役割はポケモンの回復です。,1
ゲーム,ポケモン赤緑,システム,POKEMON_RG053,ポケモンリーグに挑戦するために必要なジムバッジの数は？,8個,7個,6個,5個,1,ポケモンリーグ挑戦にはジムバッジが8個必要です。,1
ゲーム,ポケモン赤緑,システム,POKEMON_RG054,ポケモンリーグの最後の関門は？,四天王,ジムリーダー,チャンピオン,オーキド博士,1,ポケモンリーグの最後の関門は四天王です。,1
ゲーム,ポケモン赤緑,システム,POKEMON_RG055,四天王を倒した後に戦う相手は？,ライバル,オーキド博士,ロケット団ボス,もう一人の自分,1,四天王を倒した後に戦う相手はライバルです。,1
ゲーム,ポケモン赤緑,システム,POKEMON_RG056,ポケモンを進化させる方法として一般的なものは？,レベルアップ,アイテム使用,通信交換,特定の場所で進化,1,一般的な進化方法はレベルアップです。,1
ゲーム,ポケモン赤緑,システム,POKEMON_RG057,ポケモンを通信交換する際に使用するケーブルの名前は？,通信ケーブル,LANケーブル,USBケーブル,HDMIケーブル,1,通信交換には通信ケーブルを使用します。,1
ゲーム,ポケモン赤緑,システム,POKEMON_RG058,秘伝マシン「いあいぎり」で切ることができるものは？,小さな木,大きな岩,水面,高い段差,1,いあいぎりで切れるのは小さな木です。,1
ゲーム,ポケモン赤緑,システム,POKEMON_RG059,秘伝マシン「そらをとぶ」でできることは？,一度訪れた町へ瞬間移動,空を自由に飛ぶ,空中のポケモンとバトル,高い場所へ移動,1,そらをとぶでできるのは一度訪れた町へ瞬間移動です。,1
ゲーム,ポケモン赤緑,システム,POKEMON_RG060,秘伝マシン「なみのり」でできることは？,水上を移動,水中のポケモンとバトル,水中のアイテムを拾う,水中で呼吸する,1,なみのりでできるのは水上を移動することです。,1
ゲーム,ポケモン赤緑,システム,POKEMON_RG061,秘伝マシン「かいりき」で動かせるものは？,大きな岩,小さな木,水面,高い段差,1,かいりきで動かせるのは大きな岩です。,1
ゲーム,ポケモン赤緑,システム,POKEMON_RG062,秘伝マシン「フラッシュ」でできることは？,暗い洞窟を明るくする,敵の目をくらます,写真を撮る,光を発する,1,フラッシュでできることは暗い洞窟を明るくすることです。,1
ゲーム,ポケモン赤緑,システム,POKEMON_RG063,秘伝マシン「ロッククライム」は、赤緑では存在するか？,存在しない,存在する,後から追加された,一部のバージョンにのみ存在,1,ロッククライムは赤緑には存在しません。,2
ゲーム,ポケモン赤緑,システム,POKEMON_RG064,ポケモンの性格補正は、赤緑では存在するか？,存在しない,存在する,後から追加された,一部のポケモンにのみ存在,1,ポケモンの性格補正は赤緑には存在しません。,3
ゲーム,ポケモン赤緑,システム,POKEMON_RG065,ポケモンの「とくこう」「とくぼう」は、赤緑ではどのように扱われていた？,「とくしゅ」として一つにまとめられていた,それぞれ独立していた,片方のみ存在した,能力自体が存在しなかった,1,赤緑では「とくしゅ」として一つにまとめられていました。,3
ゲーム,ポケモン赤緑,システム,POKEMON_RG066,ポケモンの「ひでんマシン」の技を忘れさせるためには、どこへ行く必要がある？,忘れさせ屋,ポケモンセンター,ジムリーダー,オーキド博士,1,忘れさせる屋へ行く必要があります。,2
ゲーム,ポケモン赤緑,システム,POKEMON_RG067,ポケモンの「わざマシン」は、赤緑では何回使えるか？,1回,無限回,5回,10回,1,わざマシンは1回しか使えません。,3
ゲーム,ポケモン赤緑,イベント,POKEMON_RG068,タマムシシティのゲームコーナーの地下にある組織の本部は？,ロケット団,ギンガ団,プラズマ団,フレア団,1,ゲームコーナーの地下にはロケット団本部があります。,1
ゲーム,ポケモン赤緑,イベント,POKEMON_RG069,シルフカンパニーでロケット団が占拠していたフロアは？,最上階,地下1階,1階,全てのフロア,1,ロケット団が占拠していたのは最上階です。,2
ゲーム,ポケモン赤緑,イベント,POKEMON_RG070,シルフカンパニーの社長から貰える貴重なアイテムは？,マスターボール,モンスターボール,いいキズぐすり,タマゴ,1,社長から貰えるのはマスターボールです。,2
ゲーム,ポケモン赤緑,イベント,POKEMON_RG071,サファリゾーンで捕獲できる珍しいポケモンは？,ガルーラ,ピカチュウ,コラッタ,ズバット,1,サファリゾーンではガルーラが捕獲できます。,2
ゲーム,ポケモン赤緑,イベント,POKEMON_RG072,サファリゾーンで歩数制限があるが、その歩数を超えるとどうなる？,強制的に終了する,ゲームオーバーになる,ポケモンが逃げる,捕獲率が下がる,1,歩数を超えると強制的に終了します。,3
ゲーム,ポケモン赤緑,イベント,POKEMON_RG073,ポケモンリーグ挑戦後、図鑑を完成させるために行くべき場所は？,ハナダの洞窟,トキワの森,ふたご島,発電所,1,図鑑完成のために行くべき場所はハナダの洞窟です。,2
ゲーム,ポケモン赤緑,イベント,POKEMON_RG074,グレンタウンのポケモン屋敷で、ミュウツーの情報を記した日記を見つけるが、その日記を書いたのは誰？,フジ博士,オーキド博士,ロケット団の科学者,不明,1,日記を書いたのはフジ博士です。,3
ゲーム,ポケモン赤緑,イベント,POKEMON_RG075,シオンタウンのポケモンタワーで、ロケット団が何をしていた？,幽霊退治,ポケモンの誘拐,金儲け,ポケモンの育成,1,ロケット団はポケモンの誘拐をしていました。,2
ゲーム,ポケモン赤緑,イベント,POKEMON_RG076,ロケット団のボスであるサカキが、ジムリーダーでもあることを知るのはいつ？,トキワシティジムを攻略する時,タマムシシティのゲームコーナーで戦う時,シルフカンパニーで戦う時,ポケモンリーグで戦う時,1,サカキがジムリーダーであることを知るのはトキワシティジムを攻略する時です。,2
ゲーム,ポケモン赤緑,裏技・バグ,POKEMON_RG077,「ミュウ」を正規の方法以外で入手できることで有名なバグ技の名前は？,セレクトバグ,アブノーマルバグ,アイテム増殖バグ,ポケモン増殖バグ,1,ミュウを不正に入手できるのはセレクトバグです。,3
ゲーム,ポケモン赤緑,裏技・バグ,POKEMON_RG078,「セレクトバグ」を利用して、プレイヤーの目の前に出現させることができるアイテムは何？,どんなアイテムでも出現させられる,マスターボール,ふしぎなアメ,セレクトバグでしか出現しないアイテム,1,セレクトバグではどんなアイテムでも出現させられます。,4
ゲーム,ポケモン赤緑,裏技・バグ,POKEMON_RG079,「セレクトバグ」を利用して、レベル100のポケモンを簡単に入手できることで有名なポケモンは？,カイリュー,ミュウツー,フーディン,ギャラドス,1,セレクトバグでレベル100を簡単に入手できるのはカイリューです。,3
ゲーム,ポケモン赤緑,裏技・バグ,POKEMON_RG080,「バグ技」によって、図鑑に登録されるが正規の手段では入手できないポケモンとして有名なのは？,けつばん,アブノーマル,??????,MissingNo.,1,バグ技で有名なのはMissingNo.です。,3
ゲーム,ポケモン赤緑,裏技・バグ,POKEMON_RG081,「MissingNo.」を捕獲すると、プレイヤーのアイテム欄に何が起こる可能性がある？,特定のアイテムが増殖する,全てのアイテムが消える,アイテムの順番が入れ替わる,アイテムが破損する,1,MissingNo.を捕獲すると特定のアイテムが増殖する可能性があります。,4
ゲーム,ポケモン赤緑,裏技・バグ,POKEMON_RG082,「MissingNo.」のタイプは？,ノーマル・ひこう,ノーマル・みず,ノーマル・どく,ノーマル・エスパー,1,MissingNo.のタイプはノーマル・ひこうです。,4
ゲーム,ポケモン赤緑,裏技・バグ,POKEMON_RG083,「セレクトバグ」を利用して、野生のポケモンのレベルを操作できるが、最大何レベルまで設定できる？,255,100,999,256,1,セレクトバグではレベル255まで設定できます。,4
ゲーム,ポケモン赤緑,裏技・バグ,POKEMON_RG084,「ポケモンの笛」を使わずにカビゴンを起こすバグ技は存在するか？,存在する,存在しない,後から発見された,特定のバージョンにのみ存在,1,ポケモンの笛を使わずにカビゴンを起こすバグ技は存在します。,3
ゲーム,ポケモン赤緑,その他,POKEMON_RG085,ゲームボーイ版のポケモン赤緑で、セーブデータが消える現象を防ぐために推奨されていた行動は？,定期的なバックアップ,電源を切ってからセーブする,新しい電池に交換する,セーブ中にカートリッジを抜かない,1,セーブ中にカートリッジを抜かないことが推奨されていました。,2
ゲーム,ポケモン赤緑,その他,POKEMON_RG086,ポケモン赤緑のカートリッジの裏側にある、「DATA」と書かれた部分の役割は？,バッテリー,メモリー,CPU,ROM,1,DATAと書かれた部分の役割はバッテリーです。,3
ゲーム,ポケモン赤緑,その他,POKEMON_RG087,ポケモン赤緑の開発会社は？,ゲームフリーク,任天堂,クリーチャーズ,ポケモン,1,開発会社はゲームフリークです。,1
ゲーム,ポケモン赤緑,その他,POKEMON_RG088,ポケモン赤緑のディレクターは誰？,田尻智,増田順一,杉森建,石原恒和,1,ディレクターは田尻智です。,2
ゲーム,ポケモン赤緑,その他,POKEMON_RG089,ポケモン赤緑の音楽を担当したのは誰？,増田順一,田尻智,杉森建,石原恒和,1,音楽を担当したのは増田順一です。,2
ゲーム,ポケモン赤緑,その他,POKEMON_RG090,ポケモン赤緑のプログラマーは誰？,石原恒和,田尻智,増田順一,杉森建,1,プログラマーは石原恒和です。,4
ゲーム,ポケモン赤緑,その他,POKEMON_RG091,ポケモン赤緑のアートディレクターは誰？,杉森建,田尻智,増田順一,石原恒和,1,アートディレクターは杉森建です。,2
ゲーム,ポケモン赤緑,その他,POKEMON_RG092,ポケモン赤緑のゲームデザインを担当したのは誰？,田尻智,増田順一,杉森建,石原恒和,1,ゲームデザインを担当したのは田尻智です。,2
ゲーム,ポケモン赤緑,その他,POKEMON_RG093,ポケモン赤緑のメインテーマ曲の名前は？,マサラタウンのテーマ,ポケモンセンター,戦闘！トレーナー,サイクリングロード,1,メインテーマ曲はマサラタウンのテーマです。,2
ゲーム,ポケモン赤緑,その他,POKEMON_RG094,ポケモン赤緑の海外版のタイトルは？,Pokémon Red and Blue,Pokémon Red and Green,Pokémon Red and Yellow,Pokémon Red and Gold,1,海外版のタイトルはPokémon Red and Blueです。,2
ゲーム,ポケモン赤緑,その他,POKEMON_RG095,ポケモン赤緑のCMで使われたキャッチフレーズは？,ポケモンゲットだぜ！,ポケモン、キミにきめた！,世界中にポケモン,ポケモンと一緒に冒険,1,CMで使われたキャッチフレーズはポケモンゲットだぜ！です。,2
ゲーム,ポケモン赤緑,その他,POKEMON_RG096,ポケモン赤緑の続編にあたるタイトルは？,ポケモン金銀,ポケモンダイヤモンドパール,ポケモンブラックホワイト,ポケモンX・Y,1,続編はポケモン金銀です。,1
ゲーム,ポケモン赤緑,その他,POKEMON_RG097,ポケモン赤緑の発売当初、人気を博した要因の一つとして挙げられる「通信機能」の魅力は？,ポケモン交換と対戦,世界中のプレイヤーと交流,オンライン対戦,ポケモンを預ける,1,通信機能の魅力はポケモン交換と対戦です。,2
ゲーム,ポケモン赤緑,その他,POKEMON_RG098,ポケモン赤緑のゲーム中に登場する「ポケモン図鑑」の目的は？,全てのポケモンを記録する,ポケモンの情報を調べる,ポケモンの生息地を知る,ポケモンの生態を研究する,1,ポケモン図鑑の目的は全てのポケモンを記録することです。,2
ゲーム,ポケモン赤緑,その他,POKEMON_RG099,ポケモン赤緑で初めて手に入るポケモンのタマゴはどこで手に入る？,赤緑ではタマゴは存在しない,マサラタウン,オーキド博士の研究所,ポケモンセンター,1,赤緑ではタマゴは存在しません。,3
ゲーム,ポケモン赤緑,その他,POKEMON_RG100,ポケモン赤緑で、殿堂入り後に訪れることができる新たな場所は？,ハナダの洞窟,トキワの森,ふたご島,発電所,1,殿堂入り後に訪れることができるのはハナダの洞窟です。,2
